Type,Ticker,Option,ContractsHeld,SellContracts,AddContracts,Recommendation,PositionValue,OptionMark,Reason,PyramidReason,Strategy,Expiry,OptionSymbol,OptionLast,BuyContracts,EstCostTotal
SELL,CRM,CRM 2026-12-18 C 210,1.0,1.0,0.0,SELL_ALL,1687.5,16.875,Structure/Trim,Selling/Trimming takes priority,,,,,,
SELL,NOW,NOW 2026-08-21 C 125,1.0,1.0,0.0,SELL_ALL,685.0,6.85,Structure/Trim,Selling/Trimming takes priority,,,,,,
HOLD,UNH,UNH 2026-02-26 C 285,1.0,0.0,0.0,HOLD,1140.0,11.4,No action,ATR not OK,,,,,,
HOLD,UNH,UNH 2026-03-06 C 375,1.0,0.0,0.0,HOLD,750.0,7.5,No action,ATR not OK,,,,,,
SELL,NOW,NOW 2026-08-21 C 110,2.0,2.0,0.0,SELL_ALL,2360.0,11.8,Structure/Trim,Selling/Trimming takes priority,,,,,,
SELL,NOW,NOW 2026-08-21 C 140,4.0,4.0,0.0,SELL_ALL,1500.0,3.75,Structure/Trim,Selling/Trimming takes priority,,,,,,
SELL,ORCL,ORCL 2026-05-15 C 150,1.0,1.0,0.0,SELL_ALL,947.5,9.475,Structure/Trim,Selling/Trimming takes priority,,,,,,
SELL,CRM,CRM 2026-03-20 C 200,1.0,1.0,0.0,SELL_ALL,1030.0,10.3,Structure/Trim,Selling/Trimming takes priority,,,,,,
BUY,CSCO,,,,,,,,New entry funded by freed cash (from sells),,BUY_CALL,2026-05-15,CSCO260515C00082500,3.60,6.0,2160.0
BUY,AMD,,,,,,,,New entry funded by freed cash (from sells),,BUY_CALL,2026-05-15,AMD260515C00220000,19.10,3.0,5730.0
